년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
Jan-73,서울경기,-0.2,-3.7,4.1
Feb-73,서울경기,0.1,-3.9,4.7
Mar-73,서울경기,4,-0.6,9.3
Apr-73,서울경기,11.7,7,16.6
May-73,서울경기,16.6,11.8,21.8
Jun-73,서울경기,20.6,17,25.3
Jul-73,서울경기,26.2,22.9,30.5
Aug-73,서울경기,25.6,22.6,29.4
Sep-73,서울경기,19.8,15.5,24.8
Oct-73,서울경기,12.5,7.5,17.8
Nov-73,서울경기,4.6,0,9.5
Dec-73,서울경기,-3.4,-8,1.8
Jan-74,서울경기,-3.4,-7.9,2.3
Feb-74,서울경기,-2.6,-6.5,1.8
Mar-74,서울경기,3.1,-0.9,8
Apr-74,서울경기,10.1,5.5,15
May-74,서울경기,15.8,11,21.1
Jun-74,서울경기,18.9,14.7,23.9
Jul-74,서울경기,23.2,20.4,26.9
Aug-74,서울경기,24.5,20.9,28.8
Sep-74,서울경기,19.9,15.2,25.4
Oct-74,서울경기,12,6.7,17.6
Nov-74,서울경기,4.7,0,10.1
Dec-74,서울경기,-1.1,-5.2,3.5
Jan-75,서울경기,-3.1,-7.1,1.5
Feb-75,서울경기,-1.1,-5.4,3.5
Mar-75,서울경기,3.8,-0.6,9
Apr-75,서울경기,12.3,7.1,18.3
May-75,서울경기,15.9,11.2,21.3
Jun-75,서울경기,20.5,16.5,25.7
Jul-75,서울경기,24.4,21.5,28.1
Aug-75,서울경기,26.3,22.4,31.1
Sep-75,서울경기,22,18,26.7
Oct-75,서울경기,14.7,10,20.2
Nov-75,서울경기,8.4,4,13.5
Dec-75,서울경기,-2.3,-6.4,2.7
Jan-76,서울경기,-4.2,-8.6,0.5
Feb-76,서울경기,2.1,-1.8,6.6
Mar-76,서울경기,4.2,0,9.2
Apr-76,서울경기,10.3,5.1,15.9
May-76,서울경기,15.7,10.1,21.5
Jun-76,서울경기,20.5,16.2,25.7
Jul-76,서울경기,22.5,19.2,26.8
Aug-76,서울경기,23.4,20.4,27.1
Sep-76,서울경기,19.2,14.3,24.8
Oct-76,서울경기,13.1,8.4,18.7
Nov-76,서울경기,3.2,-1.3,8.3
Dec-76,서울경기,0,-4.3,4.8
Jan-77,서울경기,-7.3,-11.5,-2.5
Feb-77,서울경기,-3,-8,2.3
Mar-77,서울경기,4.5,-0.5,10.3
Apr-77,서울경기,11.5,6.2,17.4
May-77,서울경기,16.4,11.2,22.1
Jun-77,서울경기,21.5,16.9,26.9
Jul-77,서울경기,25.3,22.2,29.3
Aug-77,서울경기,23.8,19.3,28.8
Sep-77,서울경기,20.7,16.4,26
Oct-77,서울경기,15.7,10.4,22.3
Nov-77,서울경기,7.2,2.9,12
Dec-77,서울경기,1.9,-2,6.4
Jan-78,서울경기,-2.7,-6.7,1.8
Feb-78,서울경기,-2.8,-6.8,1.8
Mar-78,서울경기,3.6,-0.9,8.9
Apr-78,서울경기,10.6,5.4,16.5
May-78,서울경기,17.2,11.2,24
Jun-78,서울경기,21.1,17.3,26.2
Jul-78,서울경기,26,22.9,29.8
Aug-78,서울경기,25.6,22.7,29.4
Sep-78,서울경기,20.6,16.4,25.6
Oct-78,서울경기,13.8,8.5,19.9
Nov-78,서울경기,7.3,2.7,12.7
Dec-78,서울경기,1.3,-2.7,5.9
Jan-79,서울경기,0.3,-4,5.2
Feb-79,서울경기,0.2,-4,4.9
Mar-79,서울경기,5.4,0.7,10.8
Apr-79,서울경기,10.6,6,15.8
May-79,서울경기,15.7,10.7,21.6
Jun-79,서울경기,20.9,17.7,25.3
Jul-79,서울경기,24,20.9,28.4
Aug-79,서울경기,25.1,21.4,29.5
Sep-79,서울경기,19.5,14.7,24.8
Oct-79,서울경기,15,9.3,21.6
Nov-79,서울경기,5.3,0.5,10.9
Dec-79,서울경기,1,-3,5.8
Jan-80,서울경기,-3.8,-8,1
Feb-80,서울경기,-3.6,-8.5,1.7
Mar-80,서울경기,4.5,-0.2,10.2
Apr-80,서울경기,9.7,4.7,14.7
May-80,서울경기,15.7,10.4,21.1
Jun-80,서울경기,20.7,16.8,25.6
Jul-80,서울경기,22.4,19.6,26.6
Aug-80,서울경기,22.6,19.5,26.7
Sep-80,서울경기,19,14.1,24.7
Oct-80,서울경기,12.4,7,18.4
Nov-80,서울경기,8,3.2,13.4
Dec-80,서울경기,-3.9,-8.1,0.6
Jan-81,서울경기,-8,-12.8,-2.6
Feb-81,서울경기,-1.9,-6.1,2.3
Mar-81,서울경기,4.9,-0.2,10.9
Apr-81,서울경기,11,5.9,16.7
May-81,서울경기,15.2,10.8,20
Jun-81,서울경기,20.9,16.6,25.9
Jul-81,서울경기,25,22.2,28.8
Aug-81,서울경기,24.1,20.5,28.3
Sep-81,서울경기,19.4,14.8,24.6
Oct-81,서울경기,12.9,7.9,17.9
Nov-81,서울경기,3.2,-0.9,7.5
Dec-81,서울경기,-0.6,-4.9,4.2
Jan-82,서울경기,-3.9,-8,0.7
Feb-82,서울경기,-0.2,-4.8,5.2
Mar-82,서울경기,5,0.4,10.2
Apr-82,서울경기,11.2,5.9,17.1
May-82,서울경기,17,12.5,22.1
Jun-82,서울경기,20.9,16.2,26.4
Jul-82,서울경기,24.3,20.3,29.4
Aug-82,서울경기,25,21.9,28.8
Sep-82,서울경기,19.9,14.2,25.8
Oct-82,서울경기,15.1,9.8,21.3
Nov-82,서울경기,7.4,3,12.4
Dec-82,서울경기,-0.4,-4.1,3.8
Jan-83,서울경기,-2.4,-6.4,2.3
Feb-83,서울경기,-2.3,-6.4,2.1
