년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
Jan-73,전남,3.6,0.1,7.6
Feb-73,전남,3.7,-0.2,8
Mar-73,전남,6.4,1.3,12.1
Apr-73,전남,13.5,8.4,18.7
May-73,전남,16.9,12.5,21.7
Jun-73,전남,21.2,17.3,25.8
Jul-73,전남,26.6,23,30.9
Aug-73,전남,26.7,23.2,31.1
Sep-73,전남,20.9,17.1,25.6
Oct-73,전남,15.1,10.6,20
Nov-73,전남,8.1,3.2,13.6
Dec-73,전남,1.8,-2.6,6.8
Jan-74,전남,0.9,-3.2,6.4
Feb-74,전남,1.7,-2.4,6.4
Mar-74,전남,5.5,0.9,10.5
Apr-74,전남,12.3,6.9,17.6
May-74,전남,17.1,12,22.4
Jun-74,전남,20.1,15.2,25.3
Jul-74,전남,22.6,20.6,25.4
Aug-74,전남,25.6,22,30.1
Sep-74,전남,21.2,16.7,26.4
Oct-74,전남,15.3,10.4,20.5
Nov-74,전남,8.5,3.8,14.1
Dec-74,전남,3.4,-0.2,7.6
Jan-75,전남,1.4,-2,5.4
Feb-75,전남,2.1,-1.8,6.5
Mar-75,전남,6.1,1.3,11.8
Apr-75,전남,12.6,8.3,17.5
May-75,전남,16.5,12.1,21.4
Jun-75,전남,20.6,16.8,25.3
Jul-75,전남,25.3,22.5,28.7
Aug-75,전남,27.1,23.5,31.5
Sep-75,전남,24,20.3,28.4
Oct-75,전남,17,12.9,21.6
Nov-75,전남,11.2,6.9,15.9
Dec-75,전남,2.9,-0.8,7.6
Jan-76,전남,0.2,-4.1,5.2
Feb-76,전남,4.9,0.7,10
Mar-76,전남,6.4,1.9,11.6
Apr-76,전남,11.7,6.8,17
May-76,전남,16.2,11.6,21.4
Jun-76,전남,20.2,16.6,24.3
Jul-76,전남,23,19.8,27
Aug-76,전남,25.5,22.6,29.4
Sep-76,전남,20.1,15.6,25.5
Oct-76,전남,15.5,10.6,21.1
Nov-76,전남,6.9,2.4,12.1
Dec-76,전남,3.4,-0.9,8.4
Jan-77,전남,-2.1,-5.7,2.3
Feb-77,전남,0.5,-4.4,6.3
Mar-77,전남,7.1,2.5,12.2
Apr-77,전남,13,8.4,18
May-77,전남,17.1,12.9,21.9
Jun-77,전남,20.7,17.3,25
Jul-77,전남,25.7,22.7,30
Aug-77,전남,24.5,20.9,29
Sep-77,전남,22.6,18.4,27.8
Oct-77,전남,17.8,12.1,24.8
Nov-77,전남,10.1,5.5,15.2
Dec-77,전남,5.3,0.6,11.1
Jan-78,전남,1.9,-2,6.5
Feb-78,전남,1.4,-2.9,6.5
Mar-78,전남,6.1,1.2,11.7
Apr-78,전남,12.7,7.1,19.1
May-78,전남,18.3,11.8,25.4
Jun-78,전남,21.5,17.7,26
Jul-78,전남,27.1,24,31.3
Aug-78,전남,26.6,23.4,31.1
Sep-78,전남,22,17.6,27.2
Oct-78,전남,16.2,11,22.3
Nov-78,전남,10.4,6.2,15.3
Dec-78,전남,4.7,0.1,10.4
Jan-79,전남,3.4,-0.9,8.8
Feb-79,전남,3.9,-0.2,9.1
Mar-79,전남,7.4,2.4,13.3
Apr-79,전남,11.7,6.9,17
May-79,전남,16.9,11.3,22.8
Jun-79,전남,21.4,18.4,25.4
Jul-79,전남,24.3,21.1,28.5
Aug-79,전남,25.8,22.2,30.2
Sep-79,전남,20.7,16.7,25.7
Oct-79,전남,16.6,10.8,23.6
Nov-79,전남,8.8,4.1,14.4
Dec-79,전남,4.7,0.3,10.1
Jan-80,전남,1.5,-2.3,5.9
Feb-80,전남,0.7,-3.5,5.9
Mar-80,전남,6.5,2,12
Apr-80,전남,11.7,6.6,16.8
May-80,전남,16.8,11.5,22.3
Jun-80,전남,21,17.5,25.5
Jul-80,전남,22.9,20.4,26.3
Aug-80,전남,22.6,20,26.3
Sep-80,전남,20.1,15.5,25.5
Oct-80,전남,15.1,10.7,20
Nov-80,전남,10.2,5.3,16.3
Dec-80,전남,1.7,-1.9,6.3
Jan-81,전남,-0.9,-4.5,3.5
Feb-81,전남,1.9,-2.1,6.4
Mar-81,전남,7.4,2.2,13.3
Apr-81,전남,12.2,6.9,17.8
May-81,전남,16.7,11.4,22.5
Jun-81,전남,20.9,16.7,26
Jul-81,전남,26,23,30
Aug-81,전남,25.3,21.8,29.8
Sep-81,전남,20.6,16.4,26.2
Oct-81,전남,14.7,10.2,19.9
Nov-81,전남,6.6,2.2,11.6
Dec-81,전남,2.9,-1.7,8.6
Jan-82,전남,0.3,-3.8,5.4
Feb-82,전남,2.7,-1.6,8.4
Mar-82,전남,7.6,2.5,13.5
Apr-82,전남,12.2,7,18.1
May-82,전남,18.2,13.3,23.5
Jun-82,전남,21.3,16.4,27.1
Jul-82,전남,23.8,20.4,28.4
Aug-82,전남,25.9,22.7,30.2
Sep-82,전남,20.8,16,26.3
Oct-82,전남,16.7,11.8,22.9
Nov-82,전남,10.9,7,15.5
Dec-82,전남,3.4,-0.8,9.2
Jan-83,전남,1.6,-2.6,6.8
Feb-83,전남,1.5,-2.6,6.6
Mar-83,전남,7.5,3.4,12.5
Apr-83,전남,13.5,8.6,18.7
May-83,전남,17.5,12.5,23.1
Jun-83,전남,21.1,17,26.2
Jul-83,전남,23.9,21.1,27.6
Aug-83,전남,26.4,23.1,30.6
Sep-83,전남,22.8,19.5,27
Oct-83,전남,16.4,12.2,21.7
Nov-83,전남,9.1,4.8,14.5
Dec-83,전남,2.8,-1.2,7.8
Jan-84,전남,-0.8,-4.5,3.9
Feb-84,전남,0.1,-3.9,4.9
Mar-84,전남,4.9,0.3,10.4
Apr-84,전남,12.5,7.8,17.8
May-84,전남,17.2,12.3,23
Jun-84,전남,21.7,18,26.1
Jul-84,전남,25.1,22.2,28.7
Aug-84,전남,27,23.8,31.1
Sep-84,전남,21.3,17.3,26.3
Oct-84,전남,15.3,10.3,21
Nov-84,전남,10.2,5.3,16.3
Dec-84,전남,3.4,-0.3,8
Jan-85,전남,-0.6,-4.8,4.6
Feb-85,전남,2.9,-0.5,7.2
Mar-85,전남,6.2,2,11.4
Apr-85,전남,12.2,6.8,18.1
May-85,전남,17.8,13.4,22.6
Jun-85,전남,20.6,17.3,24.8
Jul-85,전남,25.4,22.3,29.2
Aug-85,전남,26.9,23.7,30.9
Sep-85,전남,22.8,19.3,27.1
Oct-85,전남,16.5,12.4,21.1
Nov-85,전남,9.2,5.2,13.8
Dec-85,전남,1.6,-2.3,6.4
Jan-86,전남,0,-3.7,4.9
Feb-86,전남,0.3,-3.7,5.5
Mar-86,전남,6.6,2,12.4
Apr-86,전남,12.8,7.4,18.7
May-86,전남,17.1,12.3,22.3
Jun-86,전남,21.2,17.7,25.5
Jul-86,전남,23.1,20.6,26.4
Aug-86,전남,25.6,21.7,30.2
Sep-86,전남,20.2,16.5,24.7
Oct-86,전남,14.4,10,19.8
Nov-86,전남,8.6,4,13.9
Dec-86,전남,5.4,1.2,10.2
Jan-87,전남,1.6,-2.4,6.4
Feb-87,전남,3.4,-0.8,8.6
Mar-87,전남,6.1,1.8,10.9
Apr-87,전남,11.8,6.8,17.6
May-87,전남,17.2,12.4,22.5
Jun-87,전남,21.2,17.1,25.9
Jul-87,전남,23.8,21.6,27
Aug-87,전남,24.9,22.2,28.2
Sep-87,전남,20.4,16.4,25.6
Oct-87,전남,17.3,12.6,22.8
Nov-87,전남,10.3,5.6,15.8
Dec-87,전남,4,-0.4,10
Jan-88,전남,2.3,-1.7,7.1
Feb-88,전남,1.8,-2.2,6.8
Mar-88,전남,5.7,1.3,10.8
Apr-88,전남,12,6.6,17.8
May-88,전남,17.3,12.5,22.7
Jun-88,전남,21.3,17.9,25.9
Jul-88,전남,25,22.3,28.5
Aug-88,전남,25.8,22.1,30.4
Sep-88,전남,21.9,17.8,27
Oct-88,전남,16.5,11.3,22.8
Nov-88,전남,8.6,3.6,14.2
Dec-88,전남,3.9,-0.5,9.1
Jan-89,전남,3.5,0.1,7.6
Feb-89,전남,4.5,0.8,8.9
Mar-89,전남,7.2,2.5,13
Apr-89,전남,14.1,8.6,20.3
May-89,전남,17.7,13,23.1
Jun-89,전남,20.1,16.4,24.5
Jul-89,전남,24.4,21.7,27.9
Aug-89,전남,25.5,22.2,29.6
Sep-89,전남,21.7,18.3,25.9
Oct-89,전남,15.4,10.3,21.6
Nov-89,전남,9.7,5.6,14.9
Dec-89,전남,4.8,0.7,10
Jan-90,전남,1,-2.8,5.5
Feb-90,전남,5.4,1.9,9.6
Mar-90,전남,8.4,3.9,13.5
Apr-90,전남,12.1,7.2,17.1
May-90,전남,16.9,12.6,21.5
Jun-90,전남,21.6,18.2,25.6
Jul-90,전남,25.7,22.9,29.6
